Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,QC_1x,QC_2x,QC_3x,QC_MSMS_neg_top80_1,XZ_100,XZ_101,XZ_102,XZ_103,XZ_104,XZ_83,XZ_84,XZ_85,XZ_86_PBS,XZ_87,XZ_88,XZ_89,XZ_90,XZ_91,XZ_92,XZ_93,XZ_94,XZ_95,XZ_96_PBS,XZ_97,XZ_98,XZ_99,1,1
5178,11.566,753.52881,PS 15:0_18:1(d7),[M-H]-,null,0.92,TRUE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5178,0,0,0.71,null,null,null,null,null,0.71,204113.1,QC_MSMS_neg_top80_1,753.52930:6948728 754.53396:1771677 755.53863:357168,78.91899:4934 78.95911:95358 89.69859:5136 95.46217:4787 96.96986:14086 101.55946:4457 101.83173:4927 134.98584:6589 152.99619:202366 192.41554:5197 222.76500:5098 241.21791:421974 242.22168:16118 253.21736:11774 254.22189:14554 264.13013:5232 280.92242:5999 288.29263:129005 377.21063:140693 395.22070:59655 424.28751:22827 442.29758:10268 612.24878:6189 666.51147:52034 666.88977:6785 756.03217:6617,46377542,46947565,48098971,49013265,39719610,3749535,4667774,50112424,3903544,2348667,3866991,39903617,35163,4179345,38036286,31429244,4065080,42751028,29055554,4313734,32307729,4575711,14226,1083760,38676451,42327377,23521545.87,19951025.31
5179,11.126,753.52893,PS 15:0_18:1(d7),[M-H]-,null,0.92,FALSE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5179,0,0,0.71,null,null,null,null,null,0.71,89986.96,QC_3x,753.52930:3498613 754.53396:923670 755.53863:120669,null,21499629,21964012,22208828,23203189,13722958,4207723,6165579,25397870,4852330,3619980,4929179,13970279,3844,3686340,16791841,8834375,3698317,16160227,8695242,5197031,9819717,6009086,3162,896860,15078588,13416829,10539731.31,7810266.618
5180,10.696,753.52997,PS 15:0_18:1(d7),[M-H]-,null,0.12,FALSE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5180,0,0,0.74,null,null,null,null,null,0.74,8.07,XZ_103,753.52997:167873 754.53464:279181 755.53930:0,null,135808,545501,193677,1363177,431736,46050,139870,561502,157176,122384,116770,352675,0,72909,250002,125214,108625,178671,127423,50223,178845,268542,0,9169,200900,263494,230782.4676,274810.2758
5181,10.16,753.53882,PS 15:0_18:1(d7),[M-H]-,null,0.92,FALSE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5181,0,0,1,null,null,null,null,null,1,90.63,XZ_104,753.54053:1039004 754.54520:171631 755.54986:0,null,9245077,9609237,9386492,9371024,2440045,5774939,7427138,3344115,3436381,5992166,6842934,2554329,0,6128045,2668655,2016729,5151976,1914920,2142102,5874244,2662601,7305777,0,1886501,2755631,2255290,4545628.717,2952719.27
5182,9.627,753.54388,PS 15:0_18:1(d7),[M-H]-,null,1,TRUE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5182,0,0,0.99,null,null,null,null,null,0.99,270.72,QC_MSMS_neg_top80_1,753.54340:7320115 754.54806:3087448 755.55273:561710,78.91899:4934 78.95911:95358 89.69859:5136 95.46217:4787 96.96986:14086 101.55946:4457 101.83173:4927 134.98584:6589 152.99619:202366 192.41554:5197 222.76500:5098 241.21791:421974 242.22168:16118 253.21736:11774 254.22189:14554 264.13013:5232 280.92242:5999 288.29263:129005 377.21063:140693 395.22070:59655 424.28751:22827 442.29758:10268 612.24878:6189 666.51147:52034 666.88977:6785 756.03217:6617,32174395,33592153,34482486,39833847,13771282,13619145,10642283,14040552,13050812,12270533,10523796,14939336,410043,12716615,13542278,12594922,12581977,13196009,14510713,12064439,13793872,13462721,1050719,16071270,13166741,15200100,15665501.58,9223693.904
5183,12.922,753.55585,PS 15:0_18:1(d7),[M-H]-,null,0.38,FALSE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5183,0,0,0.68,null,null,null,null,null,0.68,20.65,XZ_84,753.55505:235332 754.55972:0 755.56439:0,null,2153227,1110518,1636409,5701141,71946,1653315,1481683,208775,1669324,1348013,1127417,129079,0,1041195,328911,118669,965719,285284,55253,1396790,174440,1015994,0,43898,170412,149281,924488.1727,1183018.209
5184,12.811,753.55725,PS 15:0_18:1(d7),[M-H]-,null,0.69,FALSE,10.04,753.5417,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5184,0,0,0.68,null,null,null,null,null,0.68,16.44,XZ_95,753.55493:322660 754.55960:24408 755.56427:0,null,1553544,2279649,2745081,5830698,531291,1381015,1257331,1560498,1420868,1379686,1342810,390809,0,404539,255075,361782,437984,550035,253600,1103553,220668,976592,0,88252,499683,387026,1046617.945,1204852.541
5787,10.175,782.63971,SM 18:1;2O/18:1(d9),[M+HCOO]-,null,1,TRUE,10.9,782.6379,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5787,0,0,0.99,null,null,null,null,null,0.99,2472.99,QC_MSMS_neg_top80_1,782.63947:19036542 783.64413:8678948 784.64880:1682374,78.95911:283483 80.64642:4775 82.43421:4797 86.23741:5357 92.25585:11758 101.43819:4658 114.82395:5110 116.14334:5594 122.98556:23616 168.04376:555453 170.42685:6502 227.01617:5584 250.46010:5274 298.35992:6436 311.30920:5720 533.18671:6714 576.99829:6360 706.44147:6406 722.61823:2001039,110314557,110376403,110931248,113104285,51724520,52847828,48921156,51422114,54151968,52322622,49298402,54676405,45158756,50621979,50019122,51842251,51910023,51088576,52903769,53864077,53730046,48195669,50398374,63073793,54218482,54463150,61214599.12,21953243.23
5788,10.52,782.64038,SM 18:1;2O/18:1(d9),[M+HCOO]-,null,0.12,FALSE,10.9,782.6379,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,5788,0,0,1,null,null,null,null,null,1,18.88,XZ_98,782.63867:96959 783.64334:0 784.64801:0,null,338255,545786,360090,1212912,226516,305252,14839,27282,119779,189691,97976,61284,100389,197585,79671,124559,308131,182608,134952,147270,103094,73775,157141,267704,248938,257624,226273.1681,234180.2466
6845,9.436,828.56451,PI 15:0_18:1(d7),[M-H]-,null,0.96,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6845,0,0,1,null,null,null,null,null,1,521.98,QC_2x,828.56323:6457736 829.56790:2805306 830.57257:692700,null,33614887,33889240,34623985,36543082,12300850,11824127,8882932,12445297,11636599,10953863,9419551,13012689,6716951,11668170,12921525,13228114,11075409,12080115,15284109,12223726,13605739,11732691,8302752,23060764,12343019,15025019,15708277.14,8745205.086
6846,9.761,828.56531,PI 15:0_18:1(d7),[M-H]-,null,0.04,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6846,0,0,0.99,null,null,null,null,null,0.99,13.98,XZ_96_PBS,828.56531:53265 829.56998:0 830.57464:0,null,856639,1995629,455117,1802368,96126,244260,123121,251143,382089,143092,357300,137738,24690,287121,295134,352391,378281,427750,144488,423581,236021,625606,80730,823007,251412,381464,445242.2102,474905.185
6847,12.212,828.5683,PI 15:0_18:1(d7),[M-H]-,null,0.88,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6847,0,0,0.94,null,null,null,null,null,0.94,249.48,QC_2x,828.56830:3325613 829.57297:617994 830.57763:0,null,21630466,22858539,23092871,23880479,4555838,7524621,11245177,3870382,12052476,14831202,20819328,4342463,4263,12830589,7285468,6101943,10304575,3522310,5490313,16204673,5586164,13557797,4985,7441260,6071013,5474877,10407079.68,7260248.114
6848,10.239,828.56903,PI 15:0_18:1(d7),[M-H]-,null,0.88,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6848,0,0,0.95,null,null,null,null,null,0.95,797.82,XZ_95,828.56769:2362313 829.57236:523149 830.57702:103792,null,45791083,47034622,47966255,49107155,34911571,8324888,10290920,34141525,7859081,13766052,11167396,34349788,16908,11902949,32916110,33914714,13625327,34736639,30951233,13733373,35770260,13041204,25098,5026773,34319807,34976429,24602583.03,15734961.12
6849,9.917,828.5694,PI 15:0_18:1(d7),[M-H]-,null,0.77,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6849,0,0,0.95,null,null,null,null,null,0.95,78.69,XZ_90,828.56787:528580 829.57254:157221 830.57721:0,null,8097251,8029156,8002620,10029309,1799697,4077069,4938041,3263017,4796750,3472217,4455662,1882493,4019,3354890,2342961,953671,3741365,2002966,1519534,4671964,1097108,5307738,5034,1264315,1957621,1995249,3579296.786,2634454.339
6850,11.852,828.57599,PI 15:0_18:1(d7),[M-H]-,null,0.08,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6850,0,0,0.73,null,null,null,null,null,0.73,42.36,XZ_91,828.57562:165524 829.58029:0 830.58496:21083298,null,345115,422391,306153,1370706,171235,508866,658122,295591,837832,965750,716729,50372,0,629772,348886,189214,683056,233073,94569,665714,212087,606567,0,352274,212681,85170,421612.4882,330131.3084
6851,10.529,828.57727,PI 15:0_18:1(d7),[M-H]-,null,0.88,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6851,0,0,0.7,null,null,null,null,null,0.7,466.06,XZ_90,828.57660:1585593 829.58127:769553 830.58593:264607,null,47816224,66747968,67520799,71485638,35123715,8771275,18090006,39733561,10346060,13340729,15658900,26217713,12549,14877562,36830573,36406695,14649730,37574948,32431905,15114516,34361203,7202929,5780,4325186,36690716,37539243,28033697.05,20227485.62
6852,10.91,828.57733,PI 15:0_18:1(d7),[M-H]-,null,0.85,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6852,0,0,0.67,null,null,null,null,null,0.67,537.99,QC_2x,828.57733:8088982 829.58200:4090482 830.58667:1261812,null,67728300,70541594,70120071,75796068,35122435,8675216,22392182,37659485,26550203,12299952,17468684,32214789,32219,4249722,33825399,33859025,23565386,34279605,28768175,23851126,33393120,19840947,34050,5385039,33051140,36130506,30262863.07,21177342.26
6853,12.491,828.57837,PI 15:0_18:1(d7),[M-H]-,null,0.42,FALSE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6853,0,0,0.74,null,null,null,null,null,0.74,53.93,XZ_88,828.57550:230426 829.58017:77704 830.58484:479592,null,7024080,7960846,8817242,8915618,492908,1069089,2648919,182398,654274,5791676,4161290,427548,3745,4148646,1607928,1552127,1932818,837431,821529,3648230,733677,2340021,0,2897796,646921,843323,2698464.7,2804961.504
6855,11.511,828.57855,PI 15:0_18:1(d7),[M-H]-,null,1,TRUE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6855,0,0,0.62,null,null,null,null,null,0.62,2666.35,QC_MSMS_neg_top80_1,828.57867:35011780 829.58334:17508452 830.58801:4528344,77.55131:12433 78.95907:37677 82.35698:11527 85.59669:11128 87.31945:13174 89.46604:12239 92.25185:19592 96.98594:13028 98.71088:11285 168.04370:124359 184.20952:12281 224.06972:113729 225.03091:12601 255.23364:1532852 261.26004:78486 269.24915:31641 277.21768:114653 283.26483:31484 284.80618:13590 291.23383:96006 303.23169:13115 305.24857:3649300 306.25220:13903 337.18735:12528 369.89081:13111 371.10117:12816 375.19333:14700 394.59238:13470 451.51620:15449 455.37262:13075 462.30048:51937 480.31036:292292 512.31708:15098 598.76129:17282 768.55719:299924,279890630,278413987,282679123,294251471,81933046,170608969,174117958,127875797,196701482,149003823,166608782,84473687,765029,136824453,102803355,70650902,152254267,79986410,62601104,177477396,72692332,194680123,513558,57436182,87053212,81476517,137068215.1,82974783.5
6856,11.068,828.57855,PI 15:0_18:1(d7),[M-H]-,null,0.88,TRUE,9.74,828.5625,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,6856,0,0,0.64,null,null,null,null,null,0.64,674.28,QC_MSMS_neg_top80_1,828.57819:9271211 829.58285:4237356 830.58752:1257903,78.95909:16674 80.97760:5253 90.89832:5596 99.41428:5344 110.46641:5273 131.18152:5056 150.28123:6347 164.43158:6390 168.04391:40095 193.18388:5613 204.94397:7081 224.06990:32827 251.32190:5504 253.21877:24607 255.23367:605660 279.23276:134963 281.16647:5614 281.24857:101327 282.25290:7561 305.24881:1300885 307.26419:43226 319.26486:9056 424.53738:6221 459.02570:6729 462.30252:18184 469.25113:5905 480.31116:85101 624.51489:6895 658.71442:7381 768.55627:141925 791.41107:6985,74517611,78732744,76801287,88673308,31096825,35216739,40803040,47108695,41642200,32517879,39294721,31705959,91412,30186924,40673130,27166684,31826861,14714514,22500787,39899551,26345426,42649927,43671,11670946,30719647,28651916,37125092.52,22050361.23
14073,22.071,1452.99292,CL 18:2_18:2_18:2_18:2(d5),[M-H]-,null,0.85,TRUE,21.38,1452.9963,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,14073,0,0,0.99,null,null,null,null,null,0.99,68.91,QC_MSMS_neg_top80_1,1452.99243:932433 1453.99710:0 1455.00177:0,78.95902:18280 89.92538:10192 92.22655:9880 93.04336:11844 121.32574:10095 152.99644:34422 186.24652:11135 186.97920:10994 231.85851:10723 253.21730:29850 272.17664:12036 275.78421:11615 281.24869:28115 305.24762:16439 375.33365:11316 665.26074:11369 737.60223:13744 1038.98438:13307,3977019,3664226,7753449,8927086,1718689,2451131,1343578,3379081,2703483,1246031,2424246,2629857,0,1302878,3293413,2883552,1191858,1717022,2977865,1684822,1551058,3214984,0,464408,3231168,3161280,2649699.274,2006728.669
14074,21.489,1452.99341,CL 18:2_18:2_18:2_18:2(d5),[M-H]-,null,0.04,FALSE,21.38,1452.9963,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,14074,0,0,1,null,null,null,null,null,1,10.41,XZ_104,1452.99341:99319 1453.99808:0 1455.00274:0,null,517531,247093,778871,716469,201438,54863,104661,189696,156993,63439,31471,295039,0,54661,143840,404987,72411,156914,300366,109872,122951,68055,0,16979,197633,392437,207641.0675,206694.2475
14075,22.555,1452.99585,CL 18:2_18:2_18:2_18:2(d5),[M-H]-,null,0.92,TRUE,21.38,1452.9963,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,14075,0,0,1,null,null,null,null,null,1,19838.54,QC_MSMS_neg_top80_1,1452.99841:678878 1454.00308:421340 1455.00775:152878,91.77491:10480 92.25595:47986 99.47628:9632 114.39062:9275 117.21964:11394 138.07968:10593 185.47188:13038 188.29295:10713 192.08241:9475 193.53233:10087 249.94429:10932 281.24881:44681 314.40408:12581 397.76459:12085 448.40271:12067 575.63580:13357 633.02570:12483 669.45721:11459 786.28351:10416 794.31567:13027 810.18427:12951 1056.54919:12868 1407.08643:16059 1453.00867:26966,3985115,4080459,4036318,4669534,1717139,752118,923273,1943688,677312,509008,1010109,884433,0,1228050,2046903,1096632,922982,1801476,1604487,1466246,808641,1442933,0,408165,1127803,1195849,1551487.371,1265452.845
14076,21.743,1453.00317,CL 18:2_18:2_18:2_18:2(d5),[M-H]-,null,0.92,TRUE,21.38,1452.9963,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,14076,0,0,0.98,null,null,null,null,null,0.98,149.98,QC_MSMS_neg_top80_1,1453.00244:1829301 1454.00711:959506 1455.01178:241935,78.95902:18280 89.92538:10192 92.22655:9880 93.04336:11844 121.32574:10095 152.99644:34422 186.24652:11135 186.97920:10994 231.85851:10723 253.21730:29850 272.17664:12036 275.78421:11615 281.24869:28115 305.24762:16439 375.33365:11316 665.26074:11369 737.60223:13744 1038.98438:13307,16044771,15943632,16703234,17984771,7807265,4161627,4728289,8531314,4669133,4165298,2107092,4225950,6113,2480896,7698700,7115403,3993992,7441148,3810311,4749025,8333756,3032484,0,629477,7108477,7829213,6588514.201,5042392.392
