Polarity,Alignment.ID,Poor_peak_shape,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,X1,X11,X12,X13,X14,X15,X16,X17,X19,X2,X4,X5,X6,X7,X8,X9,QC1,QC2,QC3,X1.1,X1.2,ppm
Pos,18760,Yes,15.012,780.59052,PE P-40:4|PE P-18:1_22:3a,PE P-18:1_22:3,[M+H]+,null,0.37,TRUE,12.044,780.59021,C45H82NO7P,EtherPE,ZXESBKMPBZUFOL-UHFFFAOYSA-N,O=C(OC(COC=CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCC=CCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,18760,0,0,1,0.19,0.31,0.73,5,2,2.2,15.1,QC1,780.59052:439005 781.59518:212200 782.59985:391351,79.05409:5120 81.06997:10805 83.08593:5077 85.10130:85734 86.09672:6065 92.19650:35355 93.07026:8239 95.08575:20245 99.11690:8552 104.10719:10629 107.08566:5394 109.10101:8212 115.65407:4505 117.40180:4469 121.10141:7484 146.98201:7432 155.29375:4888 184.07355:11793 192.00311:5963 193.02983:4912 356.29446:6123 372.92383:6154 390.27606:11060 391.32144:79495 514.45764:5282 529.62939:5297 539.34180:5170 639.57446:47627 677.63739:117153,261021,102409,568490,865734,85998,392496,201848,86962,1757476,394599,278488,66407,236436,241997,61358,102395,7241329,6144881,1319924,1074223.52,2038921.282,0.397135393
Pos,17669,Yes,13.769,758.57349,PE 37:2|PE 18:0_19:2,PE 18:0_19:2,[M+H]+,null,0.37,TRUE,10.747,758.5694,C42H80NO8P,PE,OWZNXFXGFKRRIP-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCC=CCC=CCCCCCCC)COP(=O)(O)OCCN)CCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17669,0,0,0.99,0.1,0.21,0.68,4,1,1.49,81.03,QC1,758.56714:760833 759.57181:373092 760.57647:5106571,81.06987:7083 83.08562:6835 86.09656:11560 92.19197:12731 92.19820:25531 95.08549:18399 95.20827:4212 109.10172:6347 146.98221:7617 147.67317:5373 154.87404:4760 158.23038:4661 173.62775:4797 173.64496:4740 184.07391:231536 284.03668:5139 327.28864:9825 341.30569:25858 355.01929:5609 359.02960:5965 369.95349:5666 394.41489:5233 503.15698:5249 599.44598:6314 617.55212:54761 624.34955:5925,307649,508108,2158477,2212586,396152,3313631,1328712,621119,5722251,3259774,1529092,517240,3560375,558847,501192,834738,9711035,9309237,11150118,3026333.329,3451121.221,5.391728166
Pos,17661,Yes,12.867,758.57068,PE 37:2|PE 18:1_19:1,PE 18:1_19:1,[M+H]+,null,0.63,TRUE,10.486,758.5694,C42H80NO8P,PE,VYGBMMLRWMCCRC-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17661,0,0,1,0.32,0.48,0.7,4,2,2.26,309.26,QC2,758.57068:4415787 759.57535:1963758 760.58001:22275114,79.05399:5861 81.07001:25974 83.08559:21071 86.09666:11348 88.07793:4417 92.19318:7565 92.19785:6230 95.08560:44052 97.10145:28788 107.08558:9063 109.10122:27742 111.11706:6966 121.10126:24550 123.11707:8968 135.11697:33248 148.66933:4919 149.13292:6341 184.07381:259186 229.99419:5199 265.25278:25369 279.26889:22181 617.55164:241109 659.54028:5651 669.64697:5948 695.03802:5562,5669451,11451093,26154126,14889910,11780853,17463836,13328961,2351641,11352206,21508818,14824829,9612656,23065269,19595875,11982158,5829338,82045942,82114563,84570411,24715365.12,26576491.92,1.68738681
Pos,18370,Yes,13.854,772.58392,PE 38:2|PE 18:1_20:1,PE 18:1_20:1,[M+H]+,null,0.53,TRUE,11.156,772.58508,C43H82NO8P,PE,VTJZBDIFWFVBBP-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,18370,0,0,1,0.2,0.37,0.69,3,1,1.56,610.91,QC2,772.58392:5807793 773.58859:2503261 774.59326:2809081,75.49552:4385 76.22960:4119 83.28325:4690 86.68026:4676 92.19205:10816 92.19803:15556 95.08578:8554 120.94454:4433 171.49060:5706 184.07358:58451 451.55405:5662 517.28790:5284 631.56653:39377 731.39612:5161,20806452,8236653,37710169,13642928,3099791,26244550,7793713,5455701,30766116,35092759,6304727,9041813,32155993,16351755,9544177,3944915,77206221,75761674,77138727,26120991.26,25047319.08,1.501452759
Pos,18997,Yes,14.635,784.58661,PE 39:3|PE 19:0_20:3,PE 19:0_20:3,[M+H]+,null,0.42,TRUE,11.622,784.58508,C44H82NO8P,PE,JLIBFSNHPDHVCN-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCCCC=CCC=CCC=CCCCCCCC)COP(=O)(O)OCCN)CCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,18997,0,0,1,0.1,0.18,0.68,4,1,1.49,88.34,QC1,784.58655:1493078 785.59122:613602 786.59588:336818,86.09641:9099 92.19505:34494 93.06998:5332 94.60861:4731 95.08555:5457 146.98199:34287 150.21846:5014 184.07388:27650 185.54422:4370 355.32132:55252 403.91159:5770 579.53436:10220 601.51709:22484 643.56580:30352 725.50824:6729,3646745,1920897,4158456,3428403,1904854,6439186,2268847,391509,4062241,3198617,1334744,3110592,3685228,698703,888892,934957,16488543,18986887,19332622,5098995.965,6066667.704,1.950075319
Pos,17029,Yes,9.682,744.55542,PC 33:2|PC 16:1_17:1b,PC 16:1_17:1,[M+H]+,null,0.79,TRUE,8.871,744.55377,C41H78NO8P,PC,CPIDWQSKVHOULA-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCC=CCC=CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17029,0,0,0.99,0.59,0.83,0.32,6,1,1.58,4667.94,QC2,744.55542:82403864 745.56009:39084088 746.56476:10240662,86.09647:1699461 91.72865:45846 92.19344:320919 98.98432:56710 104.10692:200056 125.00008:974760 137.61623:48994 181.89444:57282 184.07367:28101800 265.36023:51865 382.34738:60557 407.28827:59042,61599885,322371877,290037582,350941825,244946779,346071834,243161990,131536291,551818990,139948103,480705567,128012297,210542977,412077826,176930011,125184617,490805665,1062687667,1075795135,360272469.4,285312941.3,2.216092466
Pos,17030,Yes,9.474,744.55542,PC 33:2|PC 16:1_17:1a,PC 16:1_17:1,[M+H]+,null,1,TRUE,8.871,744.55377,C41H78NO8P,PC,CPIDWQSKVHOULA-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCC=CCC=CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17030,0,0,1,0.62,0.84,0.38,6,1,1.61,14777.34,QC2,744.55505:124796432 745.55972:57660056 746.56439:16038389,86.09653:1764090 92.19335:124884 92.19859:33440 92.90092:27113 98.98435:123399 104.10703:197500 124.99998:750653 164.78563:26273 184.07368:26096908 200.07101:28164 218.94987:30694 308.29718:37410 333.91776:32111 356.25092:33542 397.00009:36520 408.02570:35162 550.97119:34346 559.10907:31075 744.54993:42029,260251912,350523379,819930306,433943694,520418360,610644929,408827917,280808918,492838204,495992145,267466340,196881150,371305745,442958347,203283837,191809976,2337685949,1325697956,1249057922,592648788.8,530266061.5,2.216092466
Pos,17660,Yes,10.099,758.57056,PC 34:2|PC 16:1_18:1a,PC 16:1_18:1,[M+H]+,null,0.84,TRUE,9.15,758.5694,C42H80NO8P,PC,RXPVDHQFHIMZPN-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCC=CCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17660,0,0,1,0.63,0.83,0.35,4,1,1.6,44350.06,QC3,758.57056:415161984 759.57522:197661984 760.57989:54106432,84.93162:187139 86.09657:7931364 92.19188:850048 92.19838:1111552 94.08875:229982 98.98409:398023 104.10706:1036813 125.00002:3804706 133.84473:251871 134.71184:203695 163.22722:213922 184.07375:125569168 211.06285:279540 280.08478:239118 291.97861:221384,1363286184,1708443149,1577785595,1873707450,1643913748,1137296539,1010294861,637499175,2604524176,1372552188,708291049,907653571,1868950580,1097443565,951641689,555333056,3682997546,10271002843,4012098095,2051827108,2201891226,1.529194297
Pos,17665,Yes,10.209,758.57159,PC 34:2|PC 16:1_18:1b,PC 16:1_18:1,[M+H]+,null,0.84,TRUE,9.15,758.5694,C42H80NO8P,PC,RXPVDHQFHIMZPN-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCC=CCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17665,0,0,1,0.63,0.83,0.35,4,1,1.61,20062.86,QC1,758.57037:431546112 759.57504:209711424 760.57971:56215516,75.89340:195314 79.11389:223676 86.09652:8871798 92.19365:1740892 98.98404:224922 100.48999:213283 104.10701:1100214 112.86208:220268 115.03912:240192 117.86697:258510 124.99998:4418679 129.65253:240427 146.40459:235642 184.07359:146699120 257.08710:248602 270.97049:263136 278.41977:256361 494.32623:290470 529.78870:246946 713.95746:287639,1756439157,2056711556,1946152577,1657991490,1230039549,2335271101,1881594257,846689799,3159292787,2601369920,867966380,1481395807,2622664324,1862455879,990302418,459574598,8751162320,12669852193,8424391698,3031648306,3246895640,2.88701337
Pos,20428,Yes,12.063,812.61914,PC 38:3|PC 18:1_20:2,PC 18:1_20:2,[M+H]+,null,0.68,TRUE,10.314,812.61639,C46H86NO8P,PC,RSFPKBHSGZGCAF-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC=CCC=CCC=CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20428,0,0,0.99,0.58,0.83,0.3,6,1,1.57,559.18,QC2,812.61914:8818887 813.62381:3176245 814.62848:1106880,78.85248:4763 83.66825:5399 86.09660:153483 92.19353:41367 98.88709:4535 104.10696:8626 106.78593:4495 124.99998:74733 154.38129:5164 164.19673:5785 174.62292:5799 180.05469:5346 184.07367:2425095 185.07727:21750 370.10638:5210 501.57135:6339 541.05237:6520 566.35004:5264,17176060,47960108,15907499,63810757,5975456,19018013,13605732,5719981,23051839,15307021,32065399,10952395,13368643,5752654,20141101,12667674,187714095,182760449,101739163,41826002.12,55765882.29,3.38413061
Pos,20131,Yes,9.189,806.57135,PC 38:6|PC 18:1_20:5,PC 18:1_20:5,[M+H]+,null,0.89,TRUE,8.873,806.5694,C46H80NO8P,PC,ZZCKHSDYCDDKIG-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCC=CCC=CCC=CCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20131,0,0,0.99,0.63,0.83,0.34,4,1,1.6,1176.63,QC3,806.57135:24722236 807.57602:12164308 808.58069:21161398,86.09151:24433 86.09657:495663 90.04368:13072 92.19251:57977 98.98490:18399 102.05508:18365 104.10703:71016 119.82466:11906 125.00002:283541 132.99881:14545 135.05055:12932 152.19991:15028 162.79901:13790 184.07372:7823612 343.34833:13628 362.27673:14332 591.35547:18213,73470746,89874697,127828173,26360564,64821496,64459057,24141224,35874031,34733402,96938566,16781537,33119754,74134591,63086303,26345657,29756076,321308339,317768079,350342417,98481300.42,107097279.1,2.417646888
Pos,21499,Yes,10.068,834.60266,PC 40:6|PC 18:1_22:5,PC 18:1_22:5,[M+H]+,null,0.95,TRUE,9.287,834.60071,C48H84NO8P,PC,SUSAZHLUBGMSDJ-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCC=CCC=CCC=CCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,21499,0,0,1,0.55,0.76,0.33,4,1,1.57,922.66,QC2,834.60083:4730104 835.60550:2245319 836.61017:414270,79.05437:9143 83.08551:5659 86.09660:131420 87.08427:4694 90.49453:4483 92.19204:48563 92.19868:40271 102.05515:105857 104.10699:30289 109.10081:5954 120.96663:7448 125.00010:54846 156.26959:5312 180.83003:6089 184.07365:1771226 185.07780:10978 189.09222:5281 222.01328:41503 254.15034:6424 350.30499:9053 405.86569:5690,18612070,14992118,24937578,13523949,26490051,30056925,15696603,14963405,27150476,30666896,18016482,20215884,17287624,12108293,26742371,16803252,60201145,60783896,68099275,27228857.44,16955510.62,2.33644661
Pos,21378,Yes,9.293,832.58514,PC 40:7|PC 20:3_20:4,PC 20:3_20:4,[M+H]+,null,0.32,TRUE,9.181,832.58508,C48H82NO8P,PC,KYEMUAKXZGFAFM-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C)CCC=CCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,21378,0,0,1,0.55,0.82,0.3,6,1,1.57,124.07,QC1,832.58514:2899874 833.58981:1417549 834.59448:1684458,86.09657:60472 88.11217:5320 92.19199:16925 92.19795:23088 98.37844:5234 101.95962:4986 104.10744:9381 104.52937:5767 125.00024:29926 173.61586:4816 179.11969:5202 184.07385:980058 184.33444:5291 204.90929:5809 207.99866:5851 332.77951:5304 457.21432:6011 550.35614:5725,5292953,5896887,4653233,9685560,6889029,3407739,2459093,1697927,12026553,5063399,3640258,1715476,4214733,2670479,5833504,2523959,39235543,36747904,41561362,10274504.73,13143351.14,0.072064707
