Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,QC_1x,QC_2x,QC_3x,QC_MSMS_pos_top80_1,XZ_100,XZ_101,XZ_102,XZ_103,XZ_104,XZ_83,XZ_84,XZ_85,XZ_86_PBS,XZ_87,XZ_88,XZ_89,XZ_90,XZ_91,XZ_92,XZ_93,XZ_94,XZ_95,XZ_96_PBS,XZ_97,XZ_98,XZ_99,1,1
8042,11.71,513.5376,Cer_NS 18:1(d7);2O/15:0,[M+H]+,null,0.08,FALSE,11.98,513.53821,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8042,0,0,1,null,null,null,null,null,1,87.17,QC_3x,513.53760:749412 514.54227:212033 515.54693:0,null,979920,2110754,1784954,1265732,260148,244692,481915,259195,540889,298346,229925,533020,135442,204988,303667,188754,368843,304717,510863,773682,402413,277209,122990,193591,425312,308275,519624.4698,496907.1312
8043,11.317,513.53766,Cer_NS 18:1(d7);2O/15:0,[M+H]+,null,1,TRUE,11.98,513.53821,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8043,0,0,1,null,null,null,null,null,1,25807.72,QC_MSMS_pos_top80_1,513.53790:215000848 514.54257:76292480 515.54724:14141728,79.05451:97826 82.06516:238457 93.07003:150535 95.08562:137112 96.08084:108278 109.10150:97606 115.25565:76731 121.10123:97549 123.11708:81939 141.11522:76423 165.49974:73930 167.26099:69852 167.75244:69459 179.08006:76233 205.07176:68256 214.65352:84866 218.24945:140876 242.24803:489491 259.31274:2853396 266.24832:81409 270.30637:305274 271.31274:28906326 288.03189:84584 289.32321:4149548 311.48929:81365 328.36404:99891 374.18826:86949 421.62906:90087 483.52786:182711 495.52963:357897 513.36145:91556 513.53717:384458,1434031591,1460663855,1484052023,1470447997,538582519,441070154,477495145,574416280,495204178,424569106,448047759,515928152,206097770,403786570,496163879,473944227,421947923,532355344,493048215,481808024,513046039,443531791,222215109,296863440,540718512,544443823,609018439.3,381855828
8046,12.118,513.53857,Cer_NS 18:1(d7);2O/15:0,[M+H]+,null,0.15,FALSE,11.98,513.53821,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8046,0,0,1,null,null,null,null,null,1,20.07,XZ_87,513.53827:100127 514.54294:0 515.54760:0,null,45901,80078,103635,373830,41252,116737,38113,32530,0,12201,13517,199279,35369,113421,136163,27010,45312,58703,88078,61299,163411,15740,23443,54276,23196,18003,73865.2299,79181.4313
8606,2.303,529.39948,LPC 18:1(d7),[M+H]+,null,1,TRUE,2.47,529.3994,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8606,0,0,1,null,null,null,null,null,1,11172.57,QC_MSMS_pos_top80_1,529.39966:150893120 530.40433:42206872 531.40899:7719762,80.73489:73738 86.09666:2155809 92.02467:73644 104.10723:26501840 104.54800:75242 120.75303:72550 124.99990:961466 144.76744:77734 161.20538:95180 163.01561:142834 184.07349:36414164 185.07686:256341 192.90265:83010 239.63017:90426 240.64572:72159 258.11026:611106 346.33270:1126098 403.42734:80685 452.31570:353407 494.12009:81912 511.38931:3382794 529.40015:4887018,1017268324,1034305287,1065317427,1174378828,323980537,307787212,146645648,305982075,298553198,313735396,307930741,335342812,217705800,307963908,302504212,294980875,326150174,319625250,303709164,315080873,325210439,306797100,252779651,328577838,325743839,203753224,413915762.8,290795735.4
8607,2.113,529.39978,LPC 18:1(d7),[M+H]+,null,0.27,FALSE,2.47,529.3994,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8607,0,0,1,null,null,null,null,null,1,1332.85,QC_2x,529.39948:14686555 530.40414:4186568 531.40881:732050,null,90139273,102895024,109076089,92547544,30575059,29477669,27875368,29507351,29484723,29893292,30014450,30609891,24838256,28748090,27919102,26942107,29679678,28480954,28848725,15793790,15478318,16123246,23812268,29303025,15386062,34120178,37598828.19,27218050.08
8608,2.667,529.3999,LPC 18:1(d7),[M+H]+,null,0.04,FALSE,2.47,529.3994,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8608,0,0,1,null,null,null,null,null,1,69.52,QC_1x,529.39990:1317520 530.40457:396668 531.40924:104209,null,2216520,711376,760394,3918084,606760,278214,1499634,1110559,450279,1505842,244089,257313,412505,553651,1002395,528815,876159,593750,531109,562397,185705,625911,777715,943220,696596,1285390,889783.958,770086.3382
11424,14.803,605.58582,DG 15:0_18:1(d7),[M+NH4]+,null,1,TRUE,15.76,605.5844,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,11424,0,0,0.99,null,null,null,null,null,0.99,144.28,QC_MSMS_pos_top80_1,605.58606:3146989 606.59073:1264582 607.59540:273482,77.61118:5180 79.05434:4047 81.07002:26253 83.08573:20275 85.10123:14694 91.45860:4505 95.08563:52110 97.10130:18813 104.41798:4067 109.10138:26294 109.93977:4546 111.11679:12328 115.13898:4629 117.02061:4011 121.10126:14356 123.11696:14190 125.13258:5046 135.11682:18236 149.13257:9996 162.46751:4460 199.11172:4546 225.22122:27072 243.23222:8804 254.28633:11710 272.29703:24681 299.25830:228385 345.66476:4257 346.33362:236306 364.07858:4859 437.40323:4662 440.96323:4846 526.68274:4552 570.54779:208502 603.20447:4984 605.50195:4919 605.55017:13381,15114618,19240172,18105681,18646960,2999911,3399479,2394497,3399620,3431959,3396027,3552274,3459491,1824726,3103438,3027695,3239642,3167016,3481640,3114084,3219601,3075187,3267305,2068188,1611382,3287955,3216156,5301719.3,5484853.416
15597,13.442,711.55774,PE 15:0_18:1(d7),[M+H]+,null,0.04,FALSE,12.21,711.56755,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,15597,0,0,0.79,null,null,null,null,null,0.79,5.66,XZ_92,711.55774:40902 712.56241:0 713.56707:0,null,68116,159299,16239,458871,10750,6836,10450,28511,7572,6461,7163,7156,0,10462,5611,19000,7440,17904,42140,12146,15997,7529,0,6032,17578,7611,36802.81424,91745.1307
15598,11.751,711.56665,PE 15:0_18:1(d7),[M+H]+,null,0.19,FALSE,12.21,711.56755,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,15598,0,0,1,null,null,null,null,null,1,30.9,XZ_85,711.56836:94749 712.57303:0 713.57769:0,null,311242,71987,361895,1143222,52505,238562,160094,115890,39352,330337,161262,222409,0,175528,277051,254545,349476,152404,74561,362050,333976,45719,0,262707,232428,266105,230588.7398,219475.6808
15599,11.451,711.56738,PE 15:0_18:1(d7),[M+H]+,null,1,TRUE,12.21,711.56755,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,15599,0,0,1,null,null,null,null,null,1,4523.1,QC_MSMS_pos_top80_1,711.56757:59409724 712.57223:24005408 713.57690:5691643,76.21131:5289 79.05437:16742 81.07011:159476 82.07645:15403 82.87888:5761 83.08571:111868 84.08895:6271 84.09187:15603 85.09520:7105 85.09856:8715 85.10131:100215 86.10461:12754 87.11077:11518 88.11715:12252 89.12322:10432 93.07001:33270 93.91533:5205 95.08568:272838 96.09191:29567 97.03923:5894 97.06503:9205 97.09821:11018 97.10128:102963 98.10441:6230 98.10757:11864 99.08044:12731 99.11090:11836 99.11687:6386 99.26194:5284 100.11696:12876 100.12019:7303 101.12338:6444 102.13258:9239 103.13902:10617 107.08557:38608 107.83657:4949 109.10132:165016 110.10764:22199 111.08060:8281 111.11372:7037 111.11704:81333 112.11994:9661 113.12637:8868 113.13308:6022 113.48987:5200 114.13248:9547 114.13604:6037 115.13901:10005 117.15472:5535 118.16114:9016 121.10137:106907 122.10788:8012 123.11702:99017 123.89558:5398 124.12358:8897 125.13289:26314 127.11172:4811 129.15399:5684 129.53268:5709 130.16063:8846 134.98181:29035 135.11694:104758 136.12311:12782 136.59689:5531 137.13260:44378 137.34341:5205 149.13277:47952 150.13919:6056 151.14844:18068 153.12753:22180 155.01071:10434 158.19237:25953 161.61444:5329 163.14833:22092 164.15469:6446 165.16348:9174 172.20807:20392 206.26622:6441 207.21106:15150 207.86220:6260 225.22150:246500 254.28621:70412 268.26395:39200 272.29672:265564 274.20914:6157 275.41486:5374 298.24738:5947 299.25839:57989 299.44861:5808 315.33917:99474 328.32263:6128 331.54333:5229 346.33322:65016 379.22446:9097 570.54785:2875873 577.51941:16571 599.50067:22773 664.12378:6399,349607201,342772482,360945396,380500700,119326792,130047775,123637633,141602667,128988519,112380456,106967657,130966173,324603,107118984,111253733,105813277,119693044,125827503,106456860,114282794,107205021,118873488,832124,68245208,120171836,125852768,144603642.1,99121872.07
16728,9.939,738.64545,SM 18:1;2O/18:1(d9),[M+H]+,null,0.04,FALSE,10.9,738.64807,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,16728,0,0,0.98,null,null,null,null,null,0.98,9.47,XZ_94,738.64545:32267 739.65011:0 740.65478:0,null,26628,98273,20252,554286,0,6336,8223,6510,8345,5795,5201,14054,36316,7602,9949,19852,0,9502,8577,8466,25991,10454,30291,4847,11310,18221,36741.55481,107271.5956
16729,9.23,738.64563,SM 18:1;2O/18:1(d9),[M+H]+,null,0.31,FALSE,10.9,738.64807,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,16729,0,0,1,null,null,null,null,null,1,16.36,XZ_86_PBS,738.64838:30270 739.65304:15321 740.65771:0,null,146416,28243,79135,0,0,106739,109036,0,37776,116406,18345,10370,103177,55547,0,9243,95637,0,0,138192,9505,38310,101100,281140,0,14061,57629.98379,67505.99043
16730,10.171,738.64734,SM 18:1;2O/18:1(d9),[M+H]+,null,1,TRUE,10.9,738.64807,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,16730,0,0,1,null,null,null,null,null,1,4113742,QC_MSMS_pos_top80_1,738.64734:152978528 739.65201:60334284 740.65667:18547000,78.87655:5721 86.09659:444975 92.24768:28691 98.98409:40871 101.28487:5724 102.35693:6274 104.10709:107623 104.76638:7070 109.51022:5995 109.95895:6642 124.62088:6710 124.99994:279639 125.34196:6044 136.90749:6253 151.56042:6986 184.07341:11599784 185.07700:18228 186.07716:8265 264.26865:28161 423.25272:7164 495.87823:7767 537.56989:14504 566.24353:7150 679.46832:9457 720.63721:7799,1092735672,1120132152,1143911821,1084612663,443018859,432864723,405767867,461229917,434918269,437824437,415106102,453040505,172186919,405258840,441938521,441212977,419475229,427155795,458618972,443726928,431624357,404111205,197284207,386038111,454059938,480727907,518791649.7,266808760.6
16731,10.597,738.64844,SM 18:1;2O/18:1(d9),[M+H]+,null,0.77,FALSE,10.9,738.64807,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,16731,0,0,1,null,null,null,null,null,1,394.87,XZ_98,738.64813:1736667 739.65280:870496 740.65747:0,null,11107789,9083284,7685169,26115458,7789896,5379753,3628465,5249353,2686866,7134788,5482439,4851904,3859890,2820103,4811282,3728276,6131668,4214877,10442351,5687367,3473482,7197756,4171541,12991384,6519472,10933972,7045330.16,4763360.31
17306,13.549,753.60339,PC 15:0_18:1(d7),[M+H]+,null,0.19,FALSE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,17306,0,0,0.9,null,null,null,null,null,0.9,12.7,XZ_91,753.60657:55749 754.61124:0 755.61590:0,null,294180,151554,189128,325833,37156,17571,167613,26096,29844,54656,134580,31449,7349,138545,39394,27377,7231,46136,8516,48191,9425,85838,1637,20000,21737,15211,74471.00213,88404.92154
17307,11.466,753.61353,PC 15:0_18:1(d7),[M+H]+,null,0.27,FALSE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,17307,0,0,1,null,null,null,null,null,1,86.83,XZ_104,753.61353:1001987 754.61819:820580 755.62286:447412,null,2029667,4317633,6919260,16537069,1537211,2887436,1440010,855031,2916869,2346623,1049078,1457933,442491,2699002,1189449,1804300,2595217,1025986,1638661,2042754,1003470,1979435,494895,2279975,567405,801406,2494548.717,3169827.659
17308,10.968,753.61365,PC 15:0_18:1(d7),[M+H]+,null,1,TRUE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,17308,0,0,1,null,null,null,null,null,1,8698.13,QC_MSMS_pos_top80_1,753.61353:265133568 754.61819:120769464 755.62286:28782124,79.54234:67156 83.37247:74774 86.09660:1698160 87.40724:80309 98.98430:188631 104.10709:288712 124.99999:923234 131.74464:66022 164.43089:92620 183.48540:65421 184.07349:45653492 185.07730:132125 191.98946:91680 198.20753:80774 302.42697:85581 363.52280:98082 403.51172:78797 445.09851:91875 452.11484:91945 452.20428:79507 482.32278:146507 573.92883:87204 753.61469:213430,2069287461,2131984320,2088865523,2074659573,755289467,639811783,688010359,773779102,702176738,671912257,716228256,794727910,294879376,657483916,468733166,790323442,657347891,774758476,768049437,740613691,794270005,684362987,328098687,507148427,820968560,837402595,893506669.5,538601999.1
17309,11.35,753.61407,PC 15:0_18:1(d7),[M+H]+,null,0.58,FALSE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,17309,0,0,1,null,null,null,null,null,1,140.96,XZ_89,753.61346:1127150 754.61813:1286371 755.62280:574241,null,10286599,39452477,34132759,49692983,4608649,2621554,3513673,8328789,2818376,2271806,3015415,13196498,2202231,3820739,9264769,3279238,5269470,4681569,9953992,1081000,2301208,1396470,6494643,6064932,2492901,2867204,9042690.108,12399212.79
17310,12.187,753.61694,PC 15:0_18:1(d7),[M+H]+,null,0.08,FALSE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,17310,0,0,0.97,null,null,null,null,null,0.97,19.7,XZ_96_PBS,753.61694:61920 754.62161:59342 755.62628:0,null,105186,118089,46819,1020324,28449,39776,44288,26062,20428,28080,12877,22963,145519,11882,0,18535,50483,0,15675,54971,19750,44426,95063,16950,0,17387,77076.1526,195979.7381
18146,21.943,771.70972,TG 14:0_16:1_14:0(d5),[M+NH4]+,null,1,FALSE,22.27,771.7233,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,18146,0,0,0.76,null,null,null,null,null,0.76,997.02,XZ_95,771.71179:56395 772.71646:0 773.72113:0,null,95382,90198,43003,206764,110020,149538,147558,178207,115119,164226,155600,126940,108506,107158,174622,128284,166972,88403,93141,131494,88038,124180,97206,109840,158402,95899,125180.8565,36765.55412
18147,22.257,771.71606,TG 14:0_16:1_14:0(d5),[M+NH4]+,null,0.19,FALSE,22.27,771.7233,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,18147,0,0,0.94,null,null,null,null,null,0.94,9,QC_1x,771.71777:65595 772.72244:0 773.72711:0,null,108667,82676,130379,124000,12561,4948,10060,5102,10834,7640,6848,5890,3787,16645,25135,9866,18227,11198,4595,4473,10153,15098,3563,140632,18669,14737,31014.70393,44173.06892
20943,23.117,829.79895,TG 15:0_18:1(d7)_15:0,[M+NH4]+,null,0.04,FALSE,23.46,829.7985,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,20943,0,0,1,null,null,null,null,null,1,108.24,QC_1x,829.79895:2165994 830.80362:1231302 831.80829:348721,null,2666558,790205,1324795,3315367,278476,348894,319862,755364,615486,498917,150665,242907,221506,385082,110347,495381,136694,268422,487116,237159,145726,240226,371077,328519,314740,197166,586409.9106,759584.3867
20944,22.747,829.79919,TG 15:0_18:1(d7)_15:0,[M+NH4]+,null,1,TRUE,23.46,829.7985,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,20944,0,0,1,null,null,null,null,null,1,11726670,QC_MSMS_pos_top80_1,829.79932:575247104 830.80398:332043200 831.80865:94541640,75.11076:18510 79.05435:82110 81.07002:1110933 82.07648:46208 83.08238:37909 83.08568:709291 83.28229:17859 84.09183:26179 85.06504:45206 85.10136:764550 85.41270:20385 86.10432:44977 87.11073:61018 88.11678:25217 90.12966:21740 92.24389:28738 93.07017:125959 95.08562:1975446 96.09209:114213 97.06519:30371 97.09814:33916 97.10127:480819 98.10433:72603 98.10725:51407 99.08054:83299 99.11068:29601 99.11374:29758 99.11686:55555 100.11690:66088 100.12019:24693 101.12341:38566 101.12665:52483 102.13261:43476 103.13916:62002 104.14499:37923 107.08558:118873 108.14005:23886 109.10135:1111265 110.10751:60661 111.08062:46825 111.11701:457012 112.11982:35006 113.12635:37032 114.13248:43536 114.35026:20754 115.13888:42043 117.15482:25278 118.16060:47707 121.10133:476258 123.11697:625756 125.09618:20225 125.13261:205068 129.15437:35303 130.16048:26376 132.17607:23987 134.15573:34210 135.11681:513830 136.12320:36359 137.13271:264815 139.11180:48096 144.17645:60592 149.13281:237161 151.14832:150789 153.12746:62427 158.19208:89433 163.14801:75864 165.16362:41875 167.14307:35366 172.20753:109931 185.56563:20357 195.11243:21778 198.22348:26810 200.08485:21713 207.21114:180444 225.22148:1902009 228.29817:23573 242.24750:38095 243.23174:30631 246.43710:27596 248.89452:23838 250.43622:22402 254.28609:406622 271.28915:29192 272.29651:1115565 299.25818:325908 328.32339:36401 337.44699:24951 338.60336:21642 346.33289:69875 356.92352:24867 358.16882:24716 496.51218:30476 523.47278:4275254 524.47687:79847 569.53979:118934 570.54773:11816076 770.01794:30378,2797339800,2700679363,2662817414,2605959818,877155690,845196346,846067454,914221705,900144458,861608159,823545866,936825850,844659714,798323017,836832091,884318678,868905351,869392097,913665929,802179654,900983006,716856182,906591780,858062402,953923231,936865915,1148581576,673432260.2
20945,26.077,829.79944,TG 15:0_18:1(d7)_15:0,[M+NH4]+,null,0.04,FALSE,23.46,829.7985,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,20945,0,0,1,null,null,null,null,null,1,7.8,QC_3x,829.79944:90342 830.80411:57838 831.80877:0,null,0,8077,50789,0,0,0,0,0,0,0,4565,7634,0,0,0,0,0,4460,0,0,0,0,0,0,0,0,2904.85213,10048.75773
20946,23.46,829.7998,TG 15:0_18:1(d7)_15:0,[M+NH4]+,null,0.04,FALSE,23.46,829.7985,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,20946,0,0,1,null,null,null,null,null,1,19.74,XZ_95,829.79980:488024 830.80447:321081 831.80914:67272,null,569438,350700,476154,1235591,67788,44486,65298,148038,181190,243643,35413,62779,188292,159958,123008,227696,119775,199989,135717,40376,83902,221481,93848,42694,85414,87134,203453.9782,248079.5496
